Count,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
1,punta arenas,-53.16,-70.91,42.8,91,40,19.46
2,barrow,-38.31,-60.23,74.69,36,56,16.22
3,jamestown,-33.21,138.6,70.55,33,88,14.76
4,salekhard,66.54,66.62,31.89,87,0,11.63
5,darnah,32.77,22.64,74.42,100,8,5.26
6,kasongo-lunda,-6.48,16.82,67.22,99,88,2.13
7,hovd,63.83,10.7,46.4,49,0,26.4
8,faanui,-16.48,-151.75,77.7,100,76,9.95
9,kenai,60.55,-151.26,49.98,76,90,2.57
10,boende,-0.28,20.88,71.22,96,64,2.57
11,san pedro,-33.68,-59.66,68.07,53,0,10.29
12,carutapera,-1.2,-46.02,80.04,84,68,9.4
13,trat,12.25,102.51,78.29,100,12,4.7
14,arlit,18.74,7.39,82.29,23,44,6.93
15,lebu,8.96,38.73,47.69,59,20,4.25
16,naze,5.43,7.07,73.47,98,64,5.48
17,port macquarie,-31.43,152.91,62.6,77,0,2.24
18,husavik,50.56,-96.99,38.82,97,80,3.36
19,lagos,6.46,3.39,73.4,94,75,2.24
20,torbay,47.66,-52.73,44.6,65,90,5.82
21,ushuaia,-54.81,-68.31,39.2,86,40,17.22
22,piracaia,-23.05,-46.36,63.95,100,90,5.82
23,mataura,-46.19,168.86,52.37,69,8,15.21
24,albany,42.65,-73.75,59.09,74,75,10.29
25,narsaq,60.91,-46.05,28.4,58,20,11.41
26,coihaique,-45.58,-72.07,47.98,55,40,5.82
27,tiksi,71.64,128.87,19.79,93,12,3.24
28,bluff,-23.58,149.07,78.69,56,12,7.94
29,rikitea,-23.12,-134.97,68.84,100,92,8.16
30,vaini,15.34,74.49,69.24,90,24,2.57
31,beringovskiy,63.05,179.32,45.8,100,92,5.82
32,rawson,-43.3,-65.11,67.13,31,92,12.41
33,peniche,39.36,-9.38,56.34,87,0,2.24
34,hereford,52.06,-2.72,48.27,92,44,11.74
35,pisco,-13.71,-76.2,71.6,30,20,8.05
36,new norfolk,-42.78,147.06,55.4,66,0,8.05
37,chokurdakh,70.62,147.9,24.47,100,88,6.38
38,atuona,-9.8,-139.03,79.14,100,92,10.63
39,carnarvon,-30.97,22.13,57.54,24,0,4.25
40,banda aceh,5.56,95.32,74.24,100,56,2.8
